CREATE TABLE `leads` (
  `Lead` varchar(4) DEFAULT NULL,
  `Qualifying Opportunity` varchar(22) DEFAULT NULL,
  `Last Name` varchar(13) DEFAULT NULL,
  `Company Name` varchar(35) DEFAULT NULL,
  `Created On` varchar(14) DEFAULT NULL,
  `Email Address` varchar(35) DEFAULT NULL,
  `Industry` varchar(19) DEFAULT NULL,
  `Website` varchar(29) DEFAULT NULL,
  `Owning User` varchar(11) DEFAULT NULL,
  `Lead Source` varchar(17) DEFAULT NULL,
  `Status Reason` varchar(20) DEFAULT NULL,
  `Mobile` varchar(12) DEFAULT NULL
) 


INSERT INTO `leads` (`Lead`, `Qualifying Opportunity`, `Last Name`, `Company Name`, `Created On`, `Email Address`, `Industry`, `Website`, `Owning User`, `Lead Source`, `Status Reason`, `Mobile`) VALUES
('1938', '24202', 'Arms', 'id Boutiques', '22/12/20 00:10', 'StevenSArms@teleworm.us', 'Manufacturing', 'OrlandoBakery.com', '1009', 'Public Relations', 'Pre Qualified', '904-344-5857'),
('1937', '24201', 'Turner', 'Museum Company', '22/12/20 00:10', 'JeromeDTurner@jourrapide.com', 'Communications', 'ScrubLess.com', '1011', 'Web Research', 'Attempted to Contact', '480-650-8885'),
('1939', '24203', 'Cooper', 'Smitty\'s Marketplace', '22/12/20 00:10', 'RitaDCooper@rhyta.com', 'Manufacturing', 'LawnReplace.com', '1001', 'Public Relations', 'Contact in Future', '954-561-9824'),
('3201', '25465', 'Casey', 'Standard Brands Paint Company', '22/12/20 00:10', 'BrianRCasey@teleworm.us', 'Service Provider', 'TerrificApps.com', '1007', 'Advertisement', 'Junk Lead', '260-504-4869'),
('3202', '25466', 'Ross', 'Sunny\'s Surplus', '22/12/20 00:10', 'SharonWRoss@dayrep.com', 'Pharma', 'GreenShreveport.com', '1009', 'External Referral', 'Attempted to Contact', '504-522-6522'),
('3203', '25467', 'Stephens', 'Olympic Sports', '22/12/20 00:10', 'LeaDStephens@einrot.com', 'Service Provider', 'GotForum.com', '1001', 'Advertisement', 'Pre Qualified', '210-818-1936'),
('3204', '25468', 'Brown', 'Williams Bros.', '22/12/20 00:10', 'ClaudeABrown@gustr.com', 'Technology', 'OpenWeddings.com', '1007', 'Partner', 'Contact in Future', '508-331-7510'),
('1935', '24199', 'Wall', 'Infinite Wealth', '22/12/20 00:10', 'StephenSWall@gustr.com', 'Pharma', 'VerifiedStats.com', '1006', 'Web Research', 'Contacted', '617-287-4947'),
('4465', '26729', 'Niehaus', 'Netcore', '22/12/20 00:10', 'ElizabethENiehaus@einrot.com', 'Financial Services', 'PublishingDaily.com', '1011', 'Public Relations', 'Contacted', '360-875-9207'),
('4466', '26730', 'Davis', 'McMahan\'s Furniture', '22/12/20 00:10', 'VictorRDavis@superrito.com', 'Financial Services', 'MarketVoip.com', '1005', 'External Referral', 'Junk Lead', '301-231-5151'),
('4467', '26731', 'Pung', 'Kent\'s', '22/12/20 00:10', 'HarryLPung@einrot.com', 'Service Provider', 'PicCapture.com', '1001', 'External Referral', 'Attempted to Contact', '509-923-9583'),
('1941', '24205', 'Toribio', 'AM/PM Camp', '21/12/20 00:10', 'MaryannRToribio@superrito.com', 'IT Services', 'FabulousAgents.com', '1010', 'External Referral', 'Not Contacted', '931-314-9777'),
('1942', '24206', 'Daniel', 'AM/PM Camp', '21/12/20 00:10', 'MitchellTDaniel@armyspy.com', 'Pharma', 'FuelGun.com', '1003', 'Public Relations', 'Pre Qualified', '262-983-5635'),
('1943', '24207', 'Low', 'Home Quarters Warehouse', '21/12/20 00:10', 'JohnALow@rhyta.com', 'Technology', 'LawAlarm.com', '1003', 'Web Research', 'Contact in Future', '210-858-5272'),
('1944', '24208', 'Karr', 'Weathervane', '21/12/20 00:10', 'ShirleyFKarr@fleckens.hu', 'Education', 'StreamDVDs.com', '1004', 'Online Store', 'Contacted', '925-940-3985'),
('1945', '', 'Trombley', 'Galyan\'s', '21/12/20 00:10', 'KennethPTrombley@superrito.com', 'Education', 'DriverRules.com', '1009', 'Partner', 'Junk Lead', '636-627-0583'),
('3206', '25470', 'Green', 'E-zhe Source', '21/12/20 00:10', 'MarieDGreen@fleckens.hu', 'IT Services', 'MassAdvertisement.com', '1003', 'Cold Call', 'Not Contacted', '478-962-1072'),
('1946', '24210', 'Worthen', 'Earl Abel\'s', '21/12/20 00:10', 'JeanDWorthen@armyspy.com', 'Government/Military', 'GlobalTreatments.com', '1002', 'Partner', 'Attempted to Contact', '610-973-1930'),
('4477', '26741', 'Dorris', 'Just For Fun', '21/12/20 00:10', 'JosephJDorris@jourrapide.com', 'Consulting', 'CablingSupply.com', '1005', 'Web Research', 'Pre Qualified', '305-812-7314'),
('4476', '26740', 'Regan', 'Childrens Bargain Town', '21/12/20 00:10', 'RamonPRegan@armyspy.com', 'Pharma', 'LoungeHead.com', '1004', 'External Referral', 'Attempted to Contact', '240-606-0761'),
('4475', '26739', 'Weir', 'Xray Eye & Vision Clinics', '21/12/20 00:10', 'MaryBWeir@einrot.com', 'Financial Services', 'BridgeFinder.com', '1001', 'Online Store', 'Junk Lead', '818-893-5537'),
('4474', '26738', 'Clement', 'Fedco', '21/12/20 00:10', 'BettyRClement@einrot.com', 'Technology', 'InternationalWords.com', '1002', 'Trade Show', 'Contacted', '917-564-4889'),
('4473', '26737', 'Jackson', 'Ideal Garden Management', '21/12/20 00:10', 'RickMJackson@gustr.com', 'Service Provider', 'GradDay.com', '1006', 'Cold Call', 'Contact in Future', '843-527-8747'),
('4472', '26736', 'Allshouse', 'Hudson\'s MensWear', '21/12/20 00:10', 'VictoriaLAllshouse@einrot.com', 'IT Services', 'FraternityNetwork.com', '1001', 'Employee Referral', 'Pre Qualified', '517-415-7125'),
('4471', '26735', 'Smith', 'Cloth World', '21/12/20 00:10', 'DavidDSmith@fleckens.hu', 'Pharma', 'OlderPhones.com', '1004', 'Public Relations', 'Not Contacted', '770-707-8821'),
('3207', '25471', 'Fidler', 'Quality Event Planner', '21/12/20 00:10', 'BillyMFidler@dayrep.com', 'Technology', 'BrowserWireless.com', '1010', 'Partner', 'Pre Qualified', '817-645-7723'),
('1947', '24211', 'Luong', 'Cherry & Webb', '21/12/20 00:10', 'LuciaJLuong@einrot.com', 'Financial Services', 'CoachConference.com', '1008', 'Trade Show', 'Pre Qualified', '239-459-7388'),
('3208', '25472', 'Thompson', 'Handy Dan', '21/12/20 00:10', 'CarrieEThompson@gustr.com', 'Consulting', 'PearCard.com', '1006', 'Web Research', 'Contact in Future', '940-224-4929'),
('3209', '25473', 'Ward', 'A. L. Price', '21/12/20 00:10', 'SusanFWard@armyspy.com', 'Government/Military', 'WorthJet.com', '1001', 'Public Relations', 'Contacted', '402-619-1665'),
('3210', '25474', 'Rodriguez', 'Frank and Seder', '21/12/20 00:10', 'AnnieRRodriguez@cuvox.de', 'Pharma', 'EscrowEtc.com', '1006', 'Partner', 'Junk Lead', '907-482-2446'),
('3211', '', 'Caudill', 'Shoe Kicks', '21/12/20 00:10', 'JohnnieKCaudill@fleckens.hu', 'Pharma', 'DoctorArchives.com', '1007', 'Online Store', 'Attempted to Contact', '330-283-5739'),
('3212', '25476', 'Luby', 'Carl Durfees', '21/12/20 00:10', 'SylviaPLuby@cuvox.de', 'Government/Military', 'OptionListing.com', '1006', 'Partner', 'Pre Qualified', '215-782-4407'),
('1953', '24217', 'Russell', 'Lionel Playworld', '20/12/20 00:10', 'SaraERussell@einrot.com', 'Government/Military', 'ShotBuilder.com', '1009', 'Partner', 'Contacted', '718-913-0841'),
('4478', '26742', 'Kerrick', 'Unity Frankford Stores', '20/12/20 00:10', 'JoelPKerrick@jourrapide.com', 'Education', 'LocationClub.com', '1007', 'Cold Call', 'Contact in Future', '602-801-8388'),
('4479', '26743', 'Garcia', 'Erb Lumber', '20/12/20 00:10', 'LuellaGGarcia@dayrep.com', 'Communications', 'ForeignShow.com', '1004', 'Advertisement', 'Lost Lead', '731-287-8148'),
('4480', '26744', 'Glover', 'Security Sporting Goods', '20/12/20 00:10', 'AntwanDGlover@gustr.com', 'Financial Services', 'BoiseTaxis.com', '1010', 'Online Store', 'Not Contacted', '801-698-1857'),
('4481', '', 'Kee', 'Deco Refreshments Inc.', '20/12/20 00:10', 'ArianaCKee@cuvox.de', 'Technology', 'CollectibleTies.com', '1005', 'Web Research', 'Pre Qualified', '781-783-6860'),
('4482', '26746', 'Perez', 'Sky High Financial Advice', '20/12/20 00:10', 'HallieBPerez@teleworm.us', 'Communications', 'AdvertisingCDs.com', '1001', 'Web Research', 'Contact in Future', '781-334-0710'),
('4483', '26747', 'Miller', 'Geri\'s Hamburgers', '20/12/20 00:10', 'EstherWMiller@armyspy.com', 'Communications', 'FraternityPhotos.com', '1010', 'External Referral', 'Contacted', '316-978-7099'),
('3213', '25477', 'Adams', 'GEX', '20/12/20 00:10', 'JerryJAdams@fleckens.hu', 'Service Provider', 'CarClues.com', '1007', 'Sales Mail Alias', 'Contact in Future', '415-448-1827'),
('3214', '25478', 'Medina', 'Great Western', '20/12/20 00:10', 'JasonLMedina@gustr.com', 'Government/Military', 'MysteryRebates.com', '1001', 'Public Relations', 'Lost Lead', '708-412-8106'),
('3215', '25479', 'Galusha', 'Heilig-Meyers', '20/12/20 00:10', 'CarolDGalusha@armyspy.com', 'Technology', 'QuizMinds.com', '1009', 'Public Relations', 'Not Contacted', '831-784-3647'),
('3216', '', 'Romero', 'Lechmere', '20/12/20 00:10', 'DelbertJRomero@superrito.com', 'Consulting', 'HairEnhancer.com', '1003', 'Trade Show', 'Pre Qualified', '806-638-3236'),
('3217', '25481', 'Brown', 'Practi-Plan', '20/12/20 00:10', 'HermanCBrown@armyspy.com', 'Service Provider', 'BakeryReview.com', '1009', 'Online Store', 'Contact in Future', '863-297-6225'),
('3218', '25482', 'Saulter', 'Audio Visions', '20/12/20 00:10', 'KristinJSaulter@einrot.com', 'Government/Military', 'SemiYearly.com', '1002', 'Employee Referral', 'Contacted', '503-773-1872'),
('1949', '24213', 'Munoz', 'Wheels Discount Auto', '20/12/20 00:10', 'MarcEMunoz@jourrapide.com', 'Communications', 'PersonBuilder.com', '1009', 'Trade Show', 'Lost Lead', '213-520-7415'),
('1950', '24214', 'Monn', 'Tower Records', '20/12/20 00:10', 'TimEMonn@rhyta.com', 'Technology', 'MarineJets.com', '1007', 'External Referral', 'Not Contacted', '401-427-6786'),
('1951', '', 'Delgado', 'Superior Interactive', '20/12/20 00:10', 'EricNDelgado@einrot.com', 'Consulting', 'CelebResearch.com', '1008', 'Public Relations', 'Pre Qualified', '650-690-0246'),
('1952', '24216', 'Shutt', 'Lawn N\' Order Garden Care', '20/12/20 00:10', 'KimberlyMShutt@cuvox.de', 'Manufacturing', 'FemaleTeam.com', '1011', 'Public Relations', 'Contact in Future', '510-867-7005'),
('1971', '24235', 'Kulikowski', 'Brendle\'s', '10/12/20 00:10', 'MackSKulikowski@einrot.com', 'Communications', 'RuleTracker.com', '1004', 'Web Research', 'Contacted', '517-639-5200'),
('1960', '', 'Figueroa', 'Monk House Sales', '10/12/20 00:10', 'PatriciaDFigueroa@teleworm.us', 'Communications', 'AutomobileRugs.com', '1008', 'Sales Mail Alias', 'Pre Qualified', '609-748-9743'),
('1957', '24221', 'Rhodes', 'Bell Markets', '10/12/20 00:10', 'WhitneyDRhodes@rhyta.com', 'Financial Services', 'DomainQuestion.com', '1001', 'External Referral', 'Contact in Future', '305-538-9041'),
('3236', '25500', 'Ross', 'American Appliance', '10/12/20 00:10', 'FelixDRoss@rhyta.com', 'Technology', 'WirelessSchedule.com', '1003', 'Cold Call', 'Contacted', '870-542-7544'),
('1955', '24219', 'Applewhite', 'Fellowship Investments', '10/12/20 00:10', 'DavidMApplewhite@superrito.com', 'Manufacturing', 'GoalForum.com', '1002', 'Cold Call', 'Attempted to Contact', '315-457-6674'),
('3233', '25497', 'Tolbert', 'Chief Auto Parts', '10/12/20 00:10', 'DoloresTTolbert@cuvox.de', 'Pharma', 'PasswordPals.com', '1008', 'Advertisement', 'Contacted', '415-507-9892'),
('3225', '25489', 'Bui', 'Mr. Clark\'s Appliances', '10/12/20 00:10', 'EmmaWBui@teleworm.us', 'Consulting', 'TheDistorted.com', '1006', 'External Referral', 'Pre Qualified', '212-620-5903'),
('3222', '25486', 'Brewster', 'Gantos', '10/12/20 00:10', 'EileenTBrewster@armyspy.com', 'Communications', 'CarryLive.com', '1010', 'Advertisement', 'Contact in Future', '602-476-6956'),
('4501', '26765', 'Walker', 'Afforda Merchant Services', '10/12/20 00:10', 'RobertaCWalker@rhyta.com', 'Government/Military', 'XRoofing.com', '1010', 'Web Research', 'Contacted', '406-365-7793'),
('3220', '25484', 'Hale', 'Record & Tape Outlet', '10/12/20 00:10', 'JamesLHale@jourrapide.com', 'Manufacturing', 'StrongBands.com', '1009', 'Trade Show', 'Attempted to Contact', '765-668-6774'),
('4498', '26762', 'Hoskins', 'The Happy Bear', '10/12/20 00:10', 'MarthaSHoskins@cuvox.de', 'Service Provider', 'FormerNames.com', '1004', 'Employee Referral', 'Contacted', '803-919-8328'),
('4490', '26754', 'Coachman', 'Grodins', '10/12/20 00:10', 'WarrenECoachman@dayrep.com', 'Consulting', 'MBAProfiles.com', '1001', 'Public Relations', 'Pre Qualified', '702-345-0549'),
('4487', '26751', 'Scott', 'Custom Sound', '10/12/20 00:10', 'EricLScott@teleworm.us', 'Government/Military', 'CheapCabinetry.com', '1006', 'Public Relations', 'Contact in Future', '214-384-1658'),
('4485', '', 'Linville', 'Red Baron Electronics', '10/12/20 00:10', 'BarbaraRLinville@einrot.com', 'Financial Services', 'FreeRollover.com', '1010', 'Trade Show', 'Attempted to Contact', '609-532-3225'),
('1968', '24232', 'Allen', 'Rack N Sack', '10/12/20 00:10', 'SusanDAllen@gustr.com', 'Technology', 'NonProfitAnalyst.com', '1006', 'Sales Mail Alias', 'Contacted', '770-499-8922'),
('2264', '', 'Marcus', 'Buckeye Furniture', '9/12/20 00:10', 'RhondaAMarcus@fleckens.hu', 'Manufacturing', 'TrendFest.com', '1008', 'External Referral', 'Contacted', '912-682-2475'),
('2250', '24514', 'Peterson', 'Integra Investment Plan', '9/12/20 00:10', 'CarlosEPeterson@armyspy.com', 'IT Services', 'PaperCoupons.com', '1010', 'Public Relations', 'Junk Lead', '859-824-0326'),
('3530', '25794', 'Chisholm', 'Reliable Guidance', '9/12/20 00:10', 'MaryBChisholm@cuvox.de', 'Communications', 'ScratchHead.com', '1005', 'Advertisement', 'Not Contacted', '507-932-7591'),
('2251', '24515', 'Grigsby', 'Sambo\'s', '9/12/20 00:10', 'JamesMGrigsby@rhyta.com', 'IT Services', 'NeverFamous.com', '1005', 'Cold Call', 'Attempted to Contact', '218-728-6786'),
('2252', '24516', 'Mazon', 'Red Food', '9/12/20 00:10', 'BobbieMMazon@armyspy.com', 'Communications', 'MaxiFly.com', '1004', 'External Referral', 'Pre Qualified', '707-345-6954'),
('2253', '24517', 'Santos', 'Food Giant', '9/12/20 00:10', 'JennyJSantos@jourrapide.com', 'IT Services', 'BroadwayPost.com', '1006', 'Trade Show', 'Contact in Future', '856-532-1784'),
('2254', '24518', 'Williams', 'Highland Appliance', '9/12/20 00:10', 'CharlesEWilliams@cuvox.de', 'Manufacturing', 'CheapTissues.com', '1009', 'Partner', 'Lost Lead', '707-436-3295'),
('2255', '24519', 'Brooks', 'Dreamscape Garden Care', '9/12/20 00:10', 'LakeishaWBrooks@gustr.com', 'Pharma', 'InstantVerify.com', '1003', 'Trade Show', 'Contacted', '361-891-9131'),
('2256', '24520', 'Nielsen', 'Little Tavern', '9/12/20 00:10', 'RobertMNielsen@einrot.com', 'Service Provider', 'Patville.com', '1008', 'Online Store', 'Not Contacted', '662-361-8587'),
('2258', '24522', 'Underwood', 'Titania', '9/12/20 00:10', 'JohnKUnderwood@einrot.com', 'Service Provider', 'CaptureInfo.com', '1006', 'Employee Referral', 'Contact in Future', '650-554-4674'),
('2259', '', 'Taylor', 'Protean', '9/12/20 00:10', 'DorindaJTaylor@jourrapide.com', 'Pharma', 'LeftVoice.com', '1007', 'Trade Show', 'Contacted', '504-342-9132'),
('2260', '24524', 'Thomas', 'Kelly and Cohen', '9/12/20 00:10', 'GilbertDThomas@gustr.com', 'Manufacturing', 'VillageBars.com', '1001', 'Public Relations', 'Attempted to Contact', '561-719-9698'),
('2277', '24541', 'Welk', 'Parade of Shoes', '9/12/20 00:10', 'ManuelaFWelk@teleworm.us', 'Financial Services', 'StudentState.com', '1007', 'Sales Mail Alias', 'Contacted', '775-778-7517'),
('3542', '25806', 'Kopp', 'Konsili', '9/12/20 00:10', 'TraciDKopp@gustr.com', 'Government/Military', 'NoBuilder.com', '1007', 'Trade Show', 'Contacted', '320-682-8922'),
('2263', '24527', 'Williams', 'Micro Design', '9/12/20 00:10', 'EulaRWilliams@superrito.com', 'Communications', 'CoDiscounts.com', '1008', 'Advertisement', 'Lost Lead', '605-855-8525'),
('2265', '', 'Chou', 'Macroserve', '9/12/20 00:10', 'AntoinetteEChou@jourrapide.com', 'Education', 'TargetBids.com', '1002', 'Partner', 'Not Contacted', '713-428-1696'),
('4771', '27035', 'Senters', 'Terra', '9/12/20 00:10', 'EffieHSenters@teleworm.us', 'Service Provider', 'RodeoAwards.com', '1010', 'Online Store', 'Junk Lead', '831-243-9128'),
('4772', '27036', 'Clifton', 'Erb Lumber', '9/12/20 00:10', 'JohnDClifton@cuvox.de', 'Consulting', 'CreditEducate.com', '1009', 'External Referral', 'Attempted to Contact', '541-358-9708'),
('4774', '27038', 'Woolfolk', 'Price Savers', '9/12/20 00:10', 'DavidKWoolfolk@einrot.com', 'Pharma', 'CrystalTunes.com', '1004', 'Trade Show', 'Contact in Future', '860-818-6251'),
('4775', '', 'Walker', 'Dahlkemper\'s', '9/12/20 00:10', 'RudyCWalker@fleckens.hu', 'Government/Military', 'OrlandoBakery.com', '1008', 'Employee Referral', 'Lost Lead', '330-642-7105'),
('4776', '27040', 'Reilly', 'Allied City Stores', '9/12/20 00:10', 'LupeKReilly@jourrapide.com', 'Communications', 'MentalLive.com', '1008', 'External Referral', 'Contacted', '513-355-8139'),
('4777', '27041', 'Frank', 'KB Toys', '9/12/20 00:10', 'LuisPFrank@gustr.com', 'Pharma', 'HelpCities.com', '1001', 'External Referral', 'Not Contacted', '713-670-8553'),
('4779', '27043', 'Pearson', 'Big D Supermarkets', '9/12/20 00:10', 'LydiaOPearson@dayrep.com', 'IT Services', 'GeoSpecials.com', '1004', 'Advertisement', 'Contact in Future', '702-324-3076'),
('4780', '', 'Smith', 'Johnson\'s General Stores', '9/12/20 00:10', 'RyanESmith@rhyta.com', 'Financial Services', 'BestTheory.com', '1006', 'Partner', 'Junk Lead', '916-456-5772'),
('4781', '27045', 'Quick', 'Star Merchant Services', '9/12/20 00:10', 'DennisEQuick@cuvox.de', 'Communications', 'GenderChat.com', '1006', 'Sales Mail Alias', 'Attempted to Contact', '330-684-8051'),
('4782', '27046', 'Hemphill', 'Planet Profit', '9/12/20 00:10', 'ChristopherMHemphill@teleworm.us', 'Manufacturing', 'TypoShow.com', '1008', 'Web Research', 'Pre Qualified', '320-253-0026'),
('4783', '27047', 'Dale', 'Gamma Realty', '9/12/20 00:10', 'EliseNDale@einrot.com', 'Education', 'ScrapBuilder.com', '1003', 'Employee Referral', 'Contact in Future', '229-271-3323'),
('4784', '27048', 'Jackson', 'Tower Records', '9/12/20 00:10', 'AliceCJackson@cuvox.de', 'Education', 'FlightProvider.com', '1006', 'Advertisement', 'Lost Lead', '386-345-9229'),
('4785', '27049', 'Bland', 'Network Air', '9/12/20 00:10', 'JenniferLBland@rhyta.com', 'Government/Military', 'BingoHeadquarters.com', '1001', 'Advertisement', 'Contacted', '713-626-0768'),
('3506', '25770', 'Beattie', 'Witmark', '9/12/20 00:10', 'MelodyPBeattie@superrito.com', 'Consulting', 'GolfClubMember.com', '1002', 'Online Store', 'Junk Lead', '786-293-3435'),
('4786', '27050', 'Dibiase', 'Warner Brothers Studio Store', '9/12/20 00:10', 'LarryCDibiase@cuvox.de', 'Government/Military', 'PartyJudge.com', '1009', 'Online Store', 'Not Contacted', '615-828-4203'),
('3507', '25771', 'Farlow', 'Handy Andy', '9/12/20 00:10', 'MelvinMFarlow@teleworm.us', 'Manufacturing', 'iAfraid.com', '1005', 'Advertisement', 'Attempted to Contact', '570-348-5145'),
('4788', '27052', 'Moore', 'Steve\'s Ice Cream', '9/12/20 00:10', 'JoseKMoore@teleworm.us', 'Education', 'ChadApartments.com', '1006', 'Sales Mail Alias', 'Contact in Future', '248-782-9167'),
('3509', '25773', 'Johnson', 'Mode O\'Day', '9/12/20 00:10', 'ThomasBJohnson@dayrep.com', 'Communications', 'WinningOver.com', '1005', 'Public Relations', 'Contact in Future', '972-362-9758'),
('3510', '25774', 'Morrison', 'Destiny Planners', '9/12/20 00:10', 'DustinTMorrison@dayrep.com', 'IT Services', 'PubLicenses.com', '1011', 'Trade Show', 'Lost Lead', '440-536-3463'),
('4790', '27054', 'Williams', 'The Warner Brothers Store', '9/12/20 00:10', 'BoMWilliams@fleckens.hu', 'Communications', 'CheerVille.com', '1005', 'Web Research', 'Attempted to Contact', '432-331-8930'),
('3511', '25775', 'Angulo', 'Gold Leaf Garden Management', '9/12/20 00:10', 'OliveRAngulo@einrot.com', 'IT Services', 'RaceDistance.com', '1007', 'Sales Mail Alias', 'Contacted', '407-970-7895'),
('3512', '', 'Zoeller', 'McDuff', '9/12/20 00:10', 'EleanorMZoeller@rhyta.com', 'Financial Services', 'SmokeReport.com', '1007', 'Advertisement', 'Not Contacted', '262-763-0108'),
('4792', '27056', 'Ross', 'Copeland Sports', '9/12/20 00:10', 'KarenSRoss@dayrep.com', 'Technology', 'KosherCutlery.com', '1006', 'Employee Referral', 'Contact in Future', '814-355-3713'),
('4793', '27057', 'Kyser', 'Simply Save', '9/12/20 00:10', 'MaryJKyser@rhyta.com', 'Education', 'LeaseDiscounts.com', '1003', 'Web Research', 'Lost Lead', '864-513-7616'),
('3514', '25778', 'Blum', 'Pergament Home Centers', '9/12/20 00:10', 'AmandaDBlum@teleworm.us', 'Technology', 'PimpleLotion.com', '1004', 'Sales Mail Alias', 'Contact in Future', '951-743-2497'),
('4794', '27058', 'Sotelo', 'Roberd\'s', '9/12/20 00:10', 'WallaceMSotelo@armyspy.com', 'Service Provider', 'StarterCaps.com', '1004', 'Public Relations', 'Contacted', '402-850-6737'),
('3515', '25779', 'Feeney', 'Children\'s Palace', '9/12/20 00:10', 'EricJFeeney@einrot.com', 'Education', 'SyntheticNames.com', '1006', 'Trade Show', 'Junk Lead', '719-582-8083'),
('4795', '27059', 'Birch', 'Sunburst Garden Management', '9/12/20 00:10', 'DominicCBirch@rhyta.com', 'Pharma', 'CardDistributors.com', '1009', 'Sales Mail Alias', 'Not Contacted', '618-338-3478'),
('3516', '25780', 'Langford', 'Canal Villere', '9/12/20 00:10', 'JesseBLangford@superrito.com', 'Manufacturing', 'MouthBlast.com', '1007', 'Cold Call', 'Attempted to Contact', '540-342-1167'),
('3517', '25781', 'Smith', 'Gold Medal', '9/12/20 00:10', 'HaroldBSmith@dayrep.com', 'Manufacturing', 'NetworkingDeveloper.com', '1003', 'Web Research', 'Pre Qualified', '225-928-6467'),
('3518', '', 'Thomas', 'Soft Warehouse', '9/12/20 00:10', 'SallyDThomas@superrito.com', 'Technology', 'CardCollectible.com', '1011', 'External Referral', 'Contact in Future', '774-298-0049'),
('3519', '25783', 'Bernstein', 'H. J. Wilson & Company', '9/12/20 00:10', 'VernaJBernstein@teleworm.us', 'Service Provider', 'ChestPimples.com', '1003', 'Partner', 'Lost Lead', '580-624-2225'),
('3520', '25784', 'Deleon', 'Solution Realty', '9/12/20 00:10', 'HeatherNDeleon@jourrapide.com', 'Financial Services', 'QuarterReporter.com', '1004', 'Trade Show', 'Contacted', '972-660-8085'),
('2241', '24505', 'Beehler', 'Kinney Shoes', '9/12/20 00:10', 'LewisKBeehler@superrito.com', 'IT Services', 'ThirdTechnology.com', '1009', 'Advertisement', 'Junk Lead', '817-685-6197'),
('3521', '25785', 'Citizen', 'Wellby', '9/12/20 00:10', 'JoyFCitizen@gustr.com', 'Pharma', 'ColdFeeling.com', '1002', 'Cold Call', 'Not Contacted', '419-778-0406'),
('2242', '24506', 'Moon', 'Better Business Ideas and Services', '9/12/20 00:10', 'JoseJMoon@gustr.com', 'Government/Military', 'MovingJokes.com', '1007', 'Partner', 'Attempted to Contact', '219-886-2693'),
('3523', '25787', 'Dodgen', 'Pacific Stereo', '9/12/20 00:10', 'DonaldDDodgen@fleckens.hu', 'IT Services', 'HelicopterParking.com', '1009', 'Trade Show', 'Contact in Future', '412-906-3033'),
('2244', '24508', 'Lavallee', 'Corinthian Designs', '9/12/20 00:10', 'DudleyJLavallee@superrito.com', 'Service Provider', 'ProvidenceCoupons.com', '1009', 'Advertisement', 'Contact in Future', '509-762-1771'),
('3524', '', 'Quigley', 'Starship Tapes & Records', '9/12/20 00:10', 'MarcSQuigley@superrito.com', 'Financial Services', 'ResidentialShop.com', '1007', 'Employee Referral', 'Contacted', '402-726-7759'),
('2245', '24509', 'Rowell', 'Mode O\'Day', '9/12/20 00:10', 'JudithWRowell@armyspy.com', 'Communications', 'BeachOffices.com', '1007', 'Trade Show', 'Lost Lead', '956-781-0452'),
('3525', '25789', 'Hutson', 'Foxmoor', '9/12/20 00:10', 'RichardAHutson@armyspy.com', 'Manufacturing', 'ShopRestaurants.com', '1002', 'Sales Mail Alias', 'Attempted to Contact', '239-210-0103'),
('2246', '24510', 'Putman', 'Nobil', '9/12/20 00:10', 'JonPPutman@teleworm.us', 'Service Provider', 'EverydayCosmetics.com', '1010', 'Sales Mail Alias', 'Contacted', '307-468-8503'),
('2247', '24511', 'Zimmerman', 'Fretter', '9/12/20 00:10', 'DarlaLZimmerman@cuvox.de', 'Government/Military', 'DealerSpiff.com', '1009', 'Trade Show', 'Not Contacted', '215-992-5155'),
('3527', '25791', 'Mann', 'Pay \'N Pak', '9/12/20 00:10', 'DeandraSMann@dayrep.com', 'Technology', 'HedgeSeek.com', '1001', 'Employee Referral', 'Contact in Future', '516-355-6838'),
('4807', '27071', 'Sims', 'Rivera Property Maintenance', '9/12/20 00:10', 'JohnSSims@jourrapide.com', 'Government/Military', 'CheapWorks.com', '1008', 'Online Store', 'Contacted', '781-447-7845'),
('3528', '25792', 'Lacroix', 'Netobill', '9/12/20 00:10', 'JamesPLacroix@gustr.com', 'Consulting', 'TelefoneCompany.com', '1005', 'Sales Mail Alias', 'Lost Lead', '757-543-2626'),
('2249', '24513', 'Jewell', 'Omni Realty', '9/12/20 00:10', 'ChristinaRJewell@fleckens.hu', 'Consulting', 'CorporateDividend.com', '1009', 'Web Research', 'Contact in Future', '314-374-1471'),
('4510', '26774', 'Wickstrom', 'Egghead Software', '8/12/20 00:10', 'MichaelSWickstrom@superrito.com', 'IT Services', 'WeekendPromotions.com', '1011', 'Advertisement', 'Contacted', '262-846-9347'),
('4514', '26778', 'Duncan', 'Chief Auto Parts', '8/12/20 00:10', 'KathleenCDuncan@gustr.com', 'Education', 'CredentialSearch.com', '1011', 'Cold Call', 'Contact in Future', '937-480-7953'),
('4517', '26781', 'Monk', 'National Lumber', '8/12/20 00:10', 'RonnieEMonk@cuvox.de', 'Service Provider', 'TalentLookup.com', '1002', 'Online Store', 'Not Contacted', '985-917-5226'),
('3240', '25504', 'Demmer', 'Compact Disc Center', '8/12/20 00:10', 'CharlesMDemmer@teleworm.us', 'Communications', 'AnimeOriginals.com', '1002', 'Partner', 'Contact in Future', '605-564-0116'),
